SKU	ThuongHieu	GioiTinh	DanhMuc	Size	Mau	Gia	GiaGiam	SoLuong	DaBan	Image	TrangThai
MLB-POLO-BLK-S	MLB	Unisex	Áo polo	S	Đen	3500000	1800000	3	0	https://product.hstatic.net/1000284478/product/3ampr014n-50bks-ao-polo-mlb-monogram-overfit-new-york-yankees-1_grande.jpg	1
MLB-POLO-WHT-S	MLB	Unisex	Áo polo	S	Trắng	3500000	1800000	3	0	https://product.hstatic.net/1000284478/product/3ampr014n-50bks-ao-polo-mlb-monogram-overfit-new-york-yankees-1_grande.jpg	1
MLB-POLO-BEI-S	MLB	Unisex	Áo polo	S	Be	3500000	1800000	3	0	https://product.hstatic.net/1000284478/product/3ampr014n-50bks-ao-polo-mlb-monogram-overfit-new-york-yankees-1_grande.jpg	1
MLB-POLO-BLU-S	MLB	Unisex	Áo polo	S	Xanh	3500000	1800000	3	0	https://product.hstatic.net/1000284478/product/3ampr014n-50bks-ao-polo-mlb-monogram-overfit-new-york-yankees-1_grande.jpg	1
MLB-POLO-BLK-M	MLB	Unisex	Áo polo	M	Đen	3500000	1800000	3	0	https://product.hstatic.net/1000284478/product/3ampr014n-50bks-ao-polo-mlb-monogram-overfit-new-york-yankees-1_grande.jpg	1
MLB-POLO-WHT-M	MLB	Unisex	Áo polo	M	Trắng	3500000	1800000	3	0	https://product.hstatic.net/1000284478/product/3ampr014n-50bks-ao-polo-mlb-monogram-overfit-new-york-yankees-1_grande.jpg	1
MLB-POLO-BEI-M	MLB	Unisex	Áo polo	M	Be	3500000	1800000	3	0	https://product.hstatic.net/1000284478/product/3ampr014n-50bks-ao-polo-mlb-monogram-overfit-new-york-yankees-1_grande.jpg	1
MLB-POLO-BLU-M	MLB	Unisex	Áo polo	M	Xanh	3500000	1800000	3	0	https://product.hstatic.net/1000284478/product/3ampr014n-50bks-ao-polo-mlb-monogram-overfit-new-york-yankees-1_grande.jpg	1
MLB-POLO-BLK-L	MLB	Unisex	Áo polo	L	Đen	3500000	1800000	3	0	https://product.hstatic.net/1000284478/product/3ampr014n-50bks-ao-polo-mlb-monogram-overfit-new-york-yankees-1_grande.jpg	1
MLB-POLO-WHT-L	MLB	Unisex	Áo polo	L	Trắng	3500000	1800000	3	0	https://product.hstatic.net/1000284478/product/3ampr014n-50bks-ao-polo-mlb-monogram-overfit-new-york-yankees-1_grande.jpg	1
